Designator,Mid X,Mid Y,Rotation,Layer
C1,174.1,-50.4,270.0,bottom
C10,168.1,-29.0,270.0,top
C11,159.8,-59.4,270.0,top
C12,150.9,-52.2,180.0,top
C13,156.8,-59.2,180.0,top
C14,157.1,-64.4,0.0,top
C15,150.9,-50.7,180.0,top
C16,151.1,-47.0,90.0,top
C17,151.1,-48.9,90.0,top
C18,152.6,-59.2,0.0,top
C19,152.0,-64.4,180.0,top
C2,174.3,-59.3,0.0,top
C20,155.8,-29.2,90.0,top
C21,152.6,-24.8,90.0,top
C22,155.1,-25.8,0.0,top
C23,158.9,-30.8,0.0,top
C24,160.4,-24.6,0.0,top
C25,165.9,-25.9,270.0,top
C26,163.4,-24.9,180.0,top
C27,162.1,-36.8,90.0,top
C28,158.1,-24.3,90.0,top
C29,165.0,-30.4,270.0,top
C3,175.5,-68.3,270.0,top
C30,162.5,-29.7,180.0,top
C31,173.1,-39.5,0.0,top
C32,173.1,-41.0,0.0,top
C33,176.4,-43.9,0.0,top
C34,173.1,-42.5,0.0,top
C35,173.5,-44.3,0.0,top
C36,174.2,-49.0,0.0,top
C37,176.4,-39.3,0.0,top
C38,147.3,-40.8,180.0,top
C39,178.1,-44.9,90.0,top
C4,170.7,-68.3,90.0,top
C40,158.5,-36.8,270.0,top
C41,167.9,-24.9,0.0,top
C42,153.4,-28.0,0.0,top
C43,169.6,-55.6,270.0,top
C44,161.1,-34.9,90.0,top
C45,154.3,-40.3,0.0,top
C46,150.4,-27.5,270.0,top
C47,154.3,-39.3,0.0,top
C48,158.5,-34.9,90.0,top
C49,167.9,-25.9,0.0,top
C5,169.7,-68.3,270.0,top
C50,151.1,-25.6,90.0,top
C51,170.6,-39.2,0.0,top
C52,159.8,-35.8,90.0,top
C53,168.4,-23.6,0.0,top
C54,151.6,-28.1,270.0,top
C55,166.8,-30.2,270.0,top
C6,172.8,-69.9,0.0,top
C7,170.2,-69.7,180.0,top
C8,175.3,-69.8,180.0,top
C9,167.2,-67.7,0.0,top
CN1,162.5,-62.5,0.0,bottom
CN2,162.5,-32.5,0.0,bottom
Card1,178.5,-50.0,90.0,bottom
D1,172.3,-25.51,0.0,top
D2,172.3,-23.6,0.0,top
D3,151.3,-35.6,90.0,top
D4,153.19,-35.6,90.0,top
D5,174.6,-55.7,90.0,top
D6,155.1,-35.6,90.0,top
D7,157.0,-35.6,90.0,top
J1,145.5,-51.0,90.0,top
J2,145.5,-61.5,90.0,top
J3,179.5,-51.0,270.0,top
J4,179.5,-61.5,270.0,top
L1,165.272,-70.998,180.0,top
L2,173.0,-68.3,180.0,top
L3,155.4,-24.2,0.0,top
L4,163.1,-26.5,180.0,top
L5,162.2,-31.3,180.0,top
LED1,150.4,-70.2,180.0,top
LED2,153.6,-70.2,180.0,top
LED3,156.8,-70.2,180.0,top
LED4,160.0,-70.2,180.0,top
LED5,150.4,-67.7,0.0,top
LED6,153.6,-67.7,0.0,top
LED7,156.8,-67.7,0.0,top
LED8,160.0,-67.7,0.0,top
MIC1,149.1,-43.8,270.0,top
R1,173.7,-45.6,180.0,bottom
R10,174.2,-36.8,270.0,top
R11,162.5,-61.5,0.0,top
R12,162.5,-62.5,0.0,top
R13,162.5,-63.5,0.0,top
R14,162.5,-64.5,0.0,top
R15,162.5,-65.5,0.0,top
R16,174.3,-25.5,270.0,top
R17,174.3,-23.6,90.0,top
R18,158.8,-59.4,270.0,top
R19,150.1,-47.0,90.0,top
R2,176.9,-68.0,90.0,top
R20,150.1,-48.9,90.0,top
R21,161.1,-36.8,90.0,top
R22,150.6,-59.4,270.0,top
R23,153.4,-27.0,0.0,top
R24,155.3,-27.0,180.0,top
R25,174.1,-52.3,270.0,top
R26,174.1,-50.4,270.0,top
R27,173.2,-36.8,270.0,top
R28,165.9,-23.7,0.0,top
R29,176.0,-40.6,90.0,bottom
R3,173.7,-47.3,180.0,bottom
R30,164.0,-23.7,180.0,top
R31,175.1,-52.3,90.0,top
R32,175.1,-50.4,90.0,top
R33,164.3,-28.2,180.0,top
R34,162.4,-28.2,180.0,top
R35,147.3,-39.8,0.0,top
R36,178.1,-43.0,90.0,top
R37,151.3,-33.6,0.0,top
R38,153.2,-33.6,0.0,top
R39,174.6,-53.7,180.0,top
R4,173.7,-48.8,180.0,bottom
R40,155.13,-33.6,0.0,top
R41,157.04,-33.6,0.0,top
R5,151.5,-37.7,0.0,top
R6,174.3,-30.4,90.0,top
R7,173.7,-52.3,180.0,bottom
R8,173.7,-53.9,180.0,bottom
R9,151.3,-32.5,0.0,top
SW1,144.3,-42.5,270.0,top
SW2,180.7,-42.5,90.0,top
U1,171.6,-63.4,180.0,top
U3,171.9,-29.6,90.0,top
U4,157.2,-61.9,0.0,top
U5,152.1,-61.9,180.0,top
U6,171.4,-40.6,180.0,bottom
U7,167.6,-35.4,90.0,top
U8,158.8,-27.6,180.0,top
USB1,146.5,-33.5,270.0,top
USB2,178.4415,-33.5,90.0,top
Ur,162.5,-47.5,90.0,top
X1,174.6,-46.7,180.0,top
X2,176.4,-41.6,270.0,top
